"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2011년 11월 29일","23,400","23,300","23,550","22,950","10.22M","0.43%"
"2011년 11월 28일","23,300","22,400","23,300","22,200","9.76M","7.13%"
"2011년 11월 25일","21,750","22,000","22,300","21,550","4.40M","-1.81%"
"2011년 11월 24일","22,150","21,700","22,400","21,200","6.20M","1.37%"
"2011년 11월 23일","21,850","23,150","23,200","21,800","9.94M","-6.02%"
"2011년 11월 22일","23,250","22,650","23,350","22,600","5.92M","1.53%"
"2011년 11월 21일","22,900","23,050","23,150","22,600","5.32M","-1.72%"
"2011년 11월 18일","23,300","22,800","23,400","22,700","7.34M","0.43%"
"2011년 11월 17일","23,200","23,400","23,600","22,700","13.49M","3.80%"
"2011년 11월 16일","22,350","22,250","22,950","22,100","9.79M","1.36%"
"2011년 11월 15일","22,050","22,200","22,700","22,000","6.99M","-1.12%"
"2011년 11월 14일","22,300","22,100","22,900","22,000","10.68M","3.48%"
"2011년 11월 11일","21,550","22,350","22,600","21,550","14.17M","0.23%"
"2011년 11월 10일","21,500","21,200","22,550","20,650","23.04M","-2.49%"
"2011년 11월 09일","22,050","22,400","23,050","21,800","22.64M","-4.13%"
"2011년 11월 08일","23,000","24,050","24,100","23,000","11.94M","-4.56%"
"2011년 11월 07일","24,100","24,900","24,950","23,900","7.99M","-3.02%"
"2011년 11월 04일","24,850","24,000","24,850","23,900","9.59M","6.65%"
"2011년 11월 03일","23,300","24,100","24,100","23,250","5.62M","-2.92%"
"2011년 11월 02일","24,000","23,400","24,200","23,200","7.92M","0.42%"
"2011년 11월 01일","23,900","22,500","24,150","22,500","10.47M","4.60%"
"2011년 10월 31일","22,850","22,950","23,550","22,800","5.33M","-0.22%"
"2011년 10월 28일","22,900","24,200","24,450","22,850","11.16M","-3.78%"
"2011년 10월 27일","23,800","23,800","24,300","23,400","8.98M","-1.45%"
"2011년 10월 26일","24,150","23,400","24,150","23,300","5.69M","2.11%"
"2011년 10월 25일","23,650","24,050","24,200","23,600","5.59M","-1.05%"
"2011년 10월 24일","23,900","23,250","24,150","22,850","12.38M","3.02%"
"2011년 10월 21일","23,200","21,600","23,200","21,250","17.88M","10.21%"
"2011년 10월 20일","21,050","21,550","22,550","21,050","10.18M","-3.22%"
"2011년 10월 19일","21,750","22,000","22,100","21,200","7.13M","-0.23%"
"2011년 10월 18일","21,800","21,500","21,850","21,300","4.32M","-0.68%"
"2011년 10월 17일","21,950","22,350","22,400","21,900","5.12M","0.00%"
"2011년 10월 14일","21,950","21,800","22,100","21,650","4.55M","0.46%"
"2011년 10월 13일","21,850","22,700","22,850","21,750","9.47M","-3.10%"
"2011년 10월 12일","22,550","22,150","22,550","22,050","5.72M","1.35%"
"2011년 10월 11일","22,250","22,650","22,700","22,200","8.15M","1.37%"
"2011년 10월 10일","21,950","21,550","22,100","21,550","6.95M","2.09%"
"2011년 10월 07일","21,500","22,050","22,100","21,350","9.07M","1.42%"
"2011년 10월 06일","21,200","20,850","22,000","20,750","14.00M","6.00%"
"2011년 10월 05일","20,000","21,050","21,400","20,000","11.11M","-3.38%"
"2011년 10월 04일","20,700","20,000","20,700","19,850","10.73M","-3.04%"
"2011년 09월 30일","21,350","21,500","21,900","21,050","9.35M","-2.29%"
"2011년 09월 29일","21,850","20,450","21,850","20,350","9.46M","6.33%"
"2011년 09월 28일","20,550","21,450","21,500","20,550","8.76M","-3.29%"
"2011년 09월 27일","21,250","20,900","21,250","20,650","9.48M","6.52%"
"2011년 09월 26일","19,950","20,950","21,050","19,750","14.31M","-1.48%"
"2011년 09월 23일","20,250","20,750","21,350","20,200","13.07M","-6.03%"
"2011년 09월 22일","21,550","21,000","21,750","20,950","9.54M","-0.23%"
"2011년 09월 21일","21,600","21,850","22,300","21,550","9.87M","-0.23%"
"2011년 09월 20일","21,650","20,500","21,850","20,200","14.68M","3.10%"
"2011년 09월 19일","21,000","21,500","22,150","20,850","11.83M","-4.11%"
"2011년 09월 16일","21,900","21,250","22,000","20,850","20.26M","3.79%"
"2011년 09월 15일","21,100","21,150","21,400","20,500","20.22M","6.30%"
"2011년 09월 14일","19,850","20,550","21,150","19,850","18.79M","-0.25%"
"2011년 09월 09일","19,900","19,800","21,300","19,600","29.13M","3.11%"
"2011년 09월 08일","19,300","19,900","19,900","18,800","17.03M","-1.03%"
"2011년 09월 07일","19,500","17,600","19,550","17,500","15.66M","14.71%"
"2011년 09월 06일","17,000","16,950","17,500","16,550","11.29M","-3.13%"
"2011년 09월 05일","17,550","18,550","18,600","17,550","9.44M","-8.12%"
"2011년 09월 02일","19,100","19,200","19,650","18,900","7.98M","-0.52%"
"2011년 09월 01일","19,200","19,300","20,100","19,150","16.73M","0.52%"
"2011년 08월 31일","19,100","18,800","19,150","18,150","13.40M","0.53%"
"2011년 08월 30일","19,000","19,900","20,250","19,000","16.47M","-2.31%"
"2011년 08월 29일","19,450","18,550","19,600","18,350","17.48M","8.36%"
"2011년 08월 26일","17,950","17,050","17,950","16,950","14.46M","3.76%"
"2011년 08월 25일","17,300","16,900","17,700","16,700","20.02M","6.46%"
"2011년 08월 24일","16,250","17,200","17,550","15,900","21.32M","-4.69%"
"2011년 08월 23일","17,050","16,200","17,050","16,000","21.40M","8.25%"
